time,city,state,shape,duration,summary,posted,lat,lon
05/14/2014 17:45,Homer,AK,Other,5 minutes,Plane seems to disappear over Kachemak Bay.,06/04/2014,59.6425,-151.5483333
05/13/2014 02:00,Anchorage,AK,Changing,2 hours,Moved spuratically and continued back & forth and from side to side Lights were reddish and clear for a few seconds would show no light,06/04/2014,61.2180556,-149.9002778
05/10/2014 21:00,Irving,AK,Circle,15 mintues,"Was circling a star and then moved away and disappeared, minutes later saw another one and a jet following the object.",06/04/2014,32.8140177,-96.9488945
05/05/2014 16:00,Anchorage,AK,,3+ hours,UFO hiding in moving mist/cloud over Cook Inlet.,05/08/2014,61.2180556,-149.9002778
04/19/2014 22:15,Anchorage,AK,Flash,3-5 minutes,"Brightly flashing high speed spherical object moving at very low altitude across the mountains, moving sporadically at first.",04/24/2014,61.2180556,-149.9002778
04/19/2014 00:04,Kodiak,AK,Sphere,1 minute,Red light over Kodiak.,04/24/2014,57.79,-152.4072222
04/14/2014 22:45,Wasilla,AK,Triangle,1 minute,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,04/18/2014,61.5813889,-149.4394444
04/11/2014 21:30,Ketchikan,AK,Fireball,2 minutes,"Fireball like object seen above the small island city of Ketchikan, Alaska.",04/18/2014,55.3422222,-131.6461111
04/09/2014 11:30,Kenai,AK,Light,2 hours,Strange fast moving lights high in the sky,04/11/2014,60.5544444,-151.2583333
04/02/2014 11:00,Kenai,AK,Oval,60 seconds,Bright white oval seemed to come out of nowhere and hovered silently towards the mount Redoubt area,04/04/2014,60.5544444,-151.2583333
03/31/2014 02:30,Wasilla,AK,Triangle,15 minutes,Triangle craft silently maneuvering over Wasilla at 230 am,04/11/2014,61.5813889,-149.4394444
03/29/2014 20:45,Anchorage,AK,Cigar,15 seconds,I explained away the first time I thought I seen this object but twice weeks apart...I'm certain now,04/04/2014,61.2180556,-149.9002778
03/28/2014 11:30,Chugiak,AK,Light,1 minute,Lights in sky.  Flying objects.,04/04/2014,61.388889,-149.481944
03/28/2014 11:17,Wasilla,AK,Changing,~60 minutes,Red and white lights on UFO.,04/04/2014,61.5813889,-149.4394444
03/28/2014 11:03,Bethel,AK,Triangle,13 minutes,Triangle shaped and bright orange.,04/04/2014,40.611167,-122.3549509
03/25/2014 22:00,Clam Gulch,AK,Sphere,20 minutes,"Lights in sky above Cook Inlet, Alaska.",03/27/2014,60.2311111,-151.393611
03/25/2014 22:00,Nikiski,AK,Light,10 minutes,6 orange independently flying lights.,03/27/2014,60.6902778,-151.2888889
03/12/2014 23:30,Ninilchik,AK,Circle,10 minutes,4 ufo's lights over Cook Inlet.,04/04/2014,60.0513889,-151.6688889
03/03/2014 19:02,Ward Cove,AK,Diamond,22 seconds,"After dark, object at extreme altitude, flashing in response to spotlight, changing course, blacking out-then back on.",03/18/2014,55.4119444,-131.7227778
03/02/2014 01:00,Butte,AK,Light,4 minutes,"Clear skies, 3 amber lights overhead for 4 minutes fading out or shooting away one by one.",04/11/2014,46.0038232,-112.5347776
03/01/2014 00:00,Anchorage,AK,Light,2-3 minutes,9 red dots hovering  low in the sky moving very slowly to the west.,03/18/2014,61.2180556,-149.9002778
02/23/2014 19:45,Anchorage,AK,Light,5-10 minutes,2 Unidentified Orange Lights above Anchorage.,02/27/2014,61.2180556,-149.9002778
02/21/2014 23:30,Palmer,AK,Light,5 minutes,Orange/Amber lights over the Hatcher Pass area.,02/27/2014,39.5751584,2.6536742
02/21/2014 00:00,Anchorage,AK,Oval,4 seconds,Luminescent oval shaped craft flies over Kincaid Park.,03/18/2014,61.2180556,-149.9002778
02/19/2014 03:00,Anchorage,AK,Flash,1 minute,Red Flashing UFO Hovering and slowly moving right to left.,02/27/2014,61.2180556,-149.9002778
01/31/2014 22:00,Anchorage,AK,Cylinder,15 minutes,"Bright orange lights, moving slowly up from the ground, hovering and moving away to the SW.",02/07/2014,61.2180556,-149.9002778
01/14/2014 23:00,Talkitna,AK,,3 seconds,"This is one you can see for yourself. TV show on IDHD Channel. ""Ice Cold Killers"" Season 2 episode2 &quot;fear Thy Neighbor&q",01/16/2014,62.3209046,-150.1066221
12/31/2013 23:00,Fairbanks,AK,Light,2 minutes,Orange light floating in night sky.,01/10/2014,64.8377778,-147.7163889
12/31/2013 20:28,Eagle River,AK,Other,~6 minutes,"Orange lights hovering in v formation, change formation and fade away over the Glenn Hwy.",01/10/2014,45.9171763,-89.2442988
12/31/2013 01:00,Fairbanks,AK,Light,5-10 minutes,Six orange lights three differnt times from New Years Eve 11 pm to New Years Day 12:30 am.,03/18/2014,64.8377778,-147.7163889
12/26/2013 18:21,Anchorage,AK,Unknown,5 minutes,Orange light in sky approaching from southeast.  Steady trajectory.,01/10/2014,61.2180556,-149.9002778
12/23/2013 22:22,Anchorage,AK,Circle,10 seconds,"At least 40 round red orbs hovering in formation above the hillside, disappeared quickly.",01/10/2014,61.2180556,-149.9002778
12/23/2013 22:11,Anchorage,AK,Light,5 minutes,stationary amber/orange colored lights over Anchorage.,01/10/2014,61.2180556,-149.9002778
12/23/2013 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,01/10/2014,61.5813889,-149.4394444
12/22/2013 18:00,Soldotna,AK,Light,1 second (each),Orange flashes of light in different areas.,12/23/2013,60.4877778,-151.0583332
12/19/2013 16:00,Anchorage,AK,Circle,~5 minutes,"Two large, bright red, circular objects falling out of the sky over Elmendorf AFB.",12/23/2013,61.2180556,-149.9002778
12/14/2013 18:50,Anchorage,AK,Flash,Seconds,Strange flash in the sky.,12/23/2013,61.2180556,-149.9002778
12/12/2013 22:30,North Pole,AK,Flash,2-3 seconds,Dim flash of orange lasting a few seconds that came from above and illuminated 30 ft. trees.,12/23/2013,90,0
12/11/2013 08:25,Anchorage,AK,Fireball,2 seconds,Anchorage meteor ufo Spenard area.,12/12/2013,61.2180556,-149.9002778
12/10/2013 23:50,Anchorage,AK,Light,3 minutes,Red light with yellow edges pulsating and stationary to the south of Anchorage just below overcast cloud cover which provided me with a,12/12/2013,61.2180556,-149.9002778
12/10/2013 23:15,Fairbanks,AK,Unknown,7-14 seconds,"Brights orange lights flashing, and disappeared out of sky instantly",12/23/2013,64.8377778,-147.7163889
12/09/2013 21:00,North Pole,AK,Flash,3-5 seconds,"Bright orange flashes lasting only a few seconds in North Pole, Alaska.",12/12/2013,90,0
12/05/2013 17:04,Ketchikan,AK,Light,16 minutes,Light stayed over airport and slowly went left to right. Then it got really bright and dimmed and was gone.,12/12/2013,55.3422222,-131.6461111
